car,phase,value,segment
本田-雅阁,初期考虑的车型,28,total
丰田-凯美瑞,初期考虑的车型,22,total
大众-迈腾,初期考虑的车型,22,total
宝马-3系/320Li,初期考虑的车型,24,total
大众-帕萨特,初期考虑的车型,20,total
日产-天籁,初期考虑的车型,12,total
奥迪-A4/A4L,初期考虑的车型,25,total
别克-君威,初期考虑的车型,13,total
大众-CC,初期考虑的车型,9,total
奔驰-C级,初期考虑的车型,16,total
本田-雅阁,初期考虑的车型,36,segment1
丰田-凯美瑞,初期考虑的车型,26,segment1
大众-迈腾,初期考虑的车型,35,segment1
宝马-3系/320Li,初期考虑的车型,10,segment1
大众-帕萨特,初期考虑的车型,24,segment1
日产-天籁,初期考虑的车型,14,segment1
奥迪-A4/A4L,初期考虑的车型,11,segment1
别克-君威,初期考虑的车型,18,segment1
大众-CC,初期考虑的车型,9,segment1
奔驰-C级,初期考虑的车型,6,segment1
本田-雅阁,初期考虑的车型,21,segment2
丰田-凯美瑞,初期考虑的车型,15,segment2
大众-迈腾,初期考虑的车型,13,segment2
宝马-3系/320Li,初期考虑的车型,34,segment2
大众-帕萨特,初期考虑的车型,13,segment2
日产-天籁,初期考虑的车型,13,segment2
奥迪-A4/A4L,初期考虑的车型,30,segment2
别克-君威,初期考虑的车型,9,segment2
大众-CC,初期考虑的车型,11,segment2
奔驰-C级,初期考虑的车型,25,segment2
本田-雅阁,初期考虑的车型,16,segment3
丰田-凯美瑞,初期考虑的车型,13,segment3
大众-迈腾,初期考虑的车型,5,segment3
宝马-3系/320Li,初期考虑的车型,48,segment3
大众-帕萨特,初期考虑的车型,9,segment3
日产-天籁,初期考虑的车型,5,segment3
奥迪-A4/A4L,初期考虑的车型,52,segment3
别克-君威,初期考虑的车型,7,segment3
大众-CC,初期考虑的车型,4,segment3
奔驰-C级,初期考虑的车型,38,segment3
本田-雅阁,初期考虑的车型,24,segment4
丰田-凯美瑞,初期考虑的车型,27,segment4
大众-迈腾,初期考虑的车型,20,segment4
宝马-3系/320Li,初期考虑的车型,17,segment4
大众-帕萨特,初期考虑的车型,26,segment4
日产-天籁,初期考虑的车型,9,segment4
奥迪-A4/A4L,初期考虑的车型,26,segment4
别克-君威,初期考虑的车型,12,segment4
大众-CC,初期考虑的车型,9,segment4
奔驰-C级,初期考虑的车型,14,segment4
本田-雅阁,初期考虑的车型,36,segment5
丰田-凯美瑞,初期考虑的车型,26,segment5
大众-迈腾,初期考虑的车型,26,segment5
宝马-3系/320Li,初期考虑的车型,22,segment5
大众-帕萨特,初期考虑的车型,20,segment5
日产-天籁,初期考虑的车型,19,segment5
奥迪-A4/A4L,初期考虑的车型,16,segment5
别克-君威,初期考虑的车型,16,segment5
大众-CC,初期考虑的车型,11,segment5
奔驰-C级,初期考虑的车型,8,segment5
本田-雅阁,后期考虑的车型,8,segment1
丰田-凯美瑞,后期考虑的车型,11,segment1
大众-迈腾,后期考虑的车型,33,segment1
宝马-3系/320Li,后期考虑的车型,5,segment1
大众-帕萨特,后期考虑的车型,21,segment1
日产-天籁,后期考虑的车型,23,segment1
奥迪-A4/A4L,后期考虑的车型,29,segment1
别克-君威,后期考虑的车型,13,segment1
大众-CC,后期考虑的车型,9,segment1
奔驰-C级,后期考虑的车型,16,segment1
本田-雅阁,后期考虑的车型,34,segment2
丰田-凯美瑞,后期考虑的车型,28,segment2
大众-迈腾,后期考虑的车型,21,segment2
宝马-3系/320Li,后期考虑的车型,17,segment2
大众-帕萨特,后期考虑的车型,15,segment2
日产-天籁,后期考虑的车型,13,segment2
奥迪-A4/A4L,后期考虑的车型,13,segment2
别克-君威,后期考虑的车型,11,segment2
大众-CC,后期考虑的车型,11,segment2
奔驰-C级,后期考虑的车型,9,segment2
本田-雅阁,后期考虑的车型,46,segment3
丰田-凯美瑞,后期考虑的车型,46,segment3
大众-迈腾,后期考虑的车型,16,segment3
宝马-3系/320Li,后期考虑的车型,33,segment3
大众-帕萨特,后期考虑的车型,13,segment3
日产-天籁,后期考虑的车型,8,segment3
奥迪-A4/A4L,后期考虑的车型,2,segment3
别克-君威,后期考虑的车型,4,segment3
大众-CC,后期考虑的车型,4,segment3
奔驰-C级,后期考虑的车型,5,segment3
本田-雅阁,后期考虑的车型,15,segment4
丰田-凯美瑞,后期考虑的车型,24,segment4
