tag,value,car
  价格,39,奥迪
  外观,38,奥迪
  内饰,20,奥迪
  内部空间,28,奥迪
  动力性能,18,奥迪
  操控性能,22,奥迪
  安全性能,8,奥迪
  舒适性能,22,奥迪
  质量,11,奥迪
  娱乐通讯配置,9,奥迪
  人性化设计,11,奥迪
  燃油经济性,7,奥迪
  环保,2,奥迪
  品牌国别/系别/血统,1,奥迪
  生产厂商,6,奥迪
  品牌知名度,5,奥迪
  品牌口碑,13,奥迪
  品牌历史,8,奥迪
  品牌档次,8,奥迪
  销售服务,18,奥迪
  售后服务,19,奥迪
  价格,45,宝马
  外观,35,宝马
  内饰,28,宝马
  内部空间,24,宝马
  动力性能,13,宝马
  操控性能,15,宝马
  安全性能,9,宝马
  舒适性能,23,宝马
  质量,5,宝马
  娱乐通讯配置,6,宝马
  人性化设计,14,宝马
  燃油经济性,16,宝马
  环保,6,宝马
  品牌国别/系别/血统,3,宝马
  生产厂商,10,宝马
  品牌知名度,8,宝马
  品牌口碑,6,宝马
  品牌历史,3,宝马
  品牌档次,10,宝马
  销售服务,19,宝马
  售后服务,17,宝马
  价格,19,本田
  外观,37,本田
  内饰,22,本田
  内部空间,27,本田
  动力性能,18,本田
  操控性能,36,本田
  安全性能,18,本田
  舒适性能,19,本田
  质量,10,本田
  娱乐通讯配置,9,本田
  人性化设计,10,本田
  燃油经济性,3,本田
  环保,4,本田
  品牌国别/系别/血统,12,本田
  生产厂商,3,本田
  品牌知名度,9,本田
  品牌口碑,17,本田
  品牌历史,6,本田
  品牌档次,10,本田
  销售服务,17,本田
  售后服务,16,本田
  价格,31,大众
  外观,21,大众
  内饰,30,大众
  内部空间,21,大众
  动力性能,22,大众
  操控性能,27,大众
  安全性能,14,大众
  舒适性能,19,大众
  质量,12,大众
  娱乐通讯配置,13,大众
  人性化设计,12,大众
  燃油经济性,16,大众
  环保,3,大众
  品牌国别/系别/血统,6,大众
  生产厂商,7,大众
  品牌知名度,7,大众
  品牌口碑,8,大众
  品牌历史,10,大众
  品牌档次,9,大众
  销售服务,21,大众
  售后服务,28,大众
  价格,26,丰田
  外观,33,丰田
  内饰,20,丰田
  内部空间,28,丰田
  动力性能,17,丰田
  操控性能,20,丰田
  安全性能,9,丰田
  舒适性能,22,丰田
  质量,22,丰田
  娱乐通讯配置,2,丰田
  人性化设计,13,丰田
  燃油经济性,7,丰田
  环保,6,丰田
  品牌国别/系别/血统,4,丰田
  生产厂商,7,丰田
  品牌知名度,15,丰田
  品牌口碑,20,丰田
  品牌历史,6,丰田
  品牌档次,7,丰田
  销售服务,24,丰田
  售后服务,15,丰田
